//VBl	건축물
//VBp	신체부위
//VHn	인간


シヤワー	샤워
男達	남자들#M	1
部活	부활동#M	1
ロボット	로봇#M	1
トンカツ	돈카츠#M	1
特殊技能	특수 기능#M	1	//特殊技	特殊技能
マジカル	매지컬#M	1
スコール	스콜#M	1
会心率	회심률#M	1
全画面	전체 화면#M	1
アックス	액스#M	1
特に無し	딱히 없음	0
ノーマル	노말	1
竜鱗	용린#M	1
バリアー	배리어#M	1
あいあいさ	아이 아이 서	0	//あいあいさー
中射精	질내사정#M	1
スマフォ	스마트폰#M	1
スポーツブラ	스포츠브라#M	1
アンチドーテ	해독제#M	1
フレイル	프레일#M	1
アクス	액스#M	1
スピア	스피어#M	1
アイアン	아이언#M	1	//アイアンクロウ
クロウ	크로우#M	1
キャタピラー	캐터필러#M	1

キャリッジ	캐리지#M	1
フェスター	페스타#M	1
ジグラット	지구라트#M	1
イソ	이소#M	1
ベックリー	베클리#M	1
アリゴ	알리고#M	1
アラル	아랄#M	1
コテハン	고정닉네임#M	1
見える化	가시화#M	1
迅雷	신뢰#M	1
角ウサギ	뿔토끼#M	1
リュックサック	배낭#M	1
霊能力者	영능력자#M	1
イバラ	이바라#M	1
リンクス	링크스#M	1
位格	위격#M	1
悪食	악식#M	1
アダマント	아다만트#M	1
ノイス	노이스#M	1
ハイム	하임#M	1	//ノイスハイム
譜面	악보#M	1
ドルー	도루#M	1
舟遊び	뱃놀이#M	1
ラムダ	람다#M	1
アーマード	아머드#M	1
グングニル	궁니르#M	1
令嬢	영애#M	1
仇討	복수#M	1
シンパ	동조자#M	1
現身	현신#M	1
ヒエラルキー	히레라르키#M	1
ガイダンス	가이던스#M	1
仮宿	임시 숙소#M	1
ヘッジホッグ	헤지호크#M	1
サーロイン	등심#M	1
エクスキューズ	익스큐즈#M	1
フンドシ	훈도시#M	1
第一区	제 1구#M	1
後人間	후 인간	0	//大後人間
ウォシュレット	비데#M	1
空の酒瓶	빈 술병#M	1
クリフ	클리프#M	1
木春菊	마가렛#M	1

▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
// 이름	VHn

火野坂	히노자카#N	1	VHn
火野坂莉々紗	히노자카 리리사#N	1	VHn
莉々紗	리리사#N	1	VHn
魔子	마코#N	1	VHn
おね子	오네코#N	1	VHn
尾根波鵠子	오네나미 코코#N	1	VHn
鵠子	코코#N	1	VHn
尾根波	오네나미#N	1	VHn
鷹見	타카미#N	1	VHn
ユウスケ	유스케#N	1	VHn
ユウト	유우토#N	1	VHn
サダトシ	사다토시#N	1	VHn
アユム	아유무#N	1	VHn
ダンキチ	단키치#N	1	VHn
ドタリコ	도타리코#N	1	VHn
零華	레이카#N	1	VHn
峯川	미네가와#N	1	VHn
フレンダ	프렌다#N	1	VHn
ロレーナ	로레나#N	1	VHn
ゼーラ	젤라#N	1	VHn
峰岸	미네기시#N	1	VHn
イアニー	이아니#N	1	VHn
魅香	미카#N	1	VHn
夢下	유메시타#N	1	VHn
凜花	린카#N	1	VHn
真白	마시로#N	1	VHn
クラサメ	크라사메#N	1	VHn
芽咲	메사키#N	1	VHn
蜜柑	미칸#N	1	VHn
奈々実	나나미#N	1	VHn
聖亜	세이아#N	1	VHn
冬穂	후유호#N	1	VHn
シェーナ	셰나#N	1	VHn
テツオ	테츠오#N	1	VHn
シロ	시로#N	1	VHn
ヘンリエッタ	헨리에타#N	1	VHn
アンジェ	안제#N	1	VHn
サーヤ	사야#N	1	VHn
ジェニー	제니#N	1	VHn
行商	행상#N	1	VHn
カリン	카린#N	1	VHn
フウ	후우#N	1	VHn
カロン	카론#N	1	VHn
ケイファ	케이파#N	1	VHn
シュンラン	슌란#N	1	VHn
シュウラン	슈우란#N	1	VHn
レンファ	렌파#N	1	VHn
シャオレン	샤오렌#N	1	VHn
ミンメイ	민메이#N	1	VHn
シシュン	시슌#N	1	VHn
カズト	카즈토#N	VHn
フローラ	플로라#N	1	VHn
アルファ	아르파#N	1	VHn
ハネコ	하네코#N	1	VHn
グールグ	그루그#N	1	VHn
プリムティーネ	프리므티네#N	1	VHn
ファビオ	파비오#N	1	VHn
カーケル	카케루#N	1	VHn
ガンゲート	간게토#N	1	VHn
グレイル	그레일#N	1	VHn
グォーク	고크#N	1	VHn
ルーシェ	루시#N	1	VHn
垣沖	카키오키#N	1	VHn
芽里	메리#N	1	VHn
夏伽	나츠카#N	1	VHn
カスミ	카스미#N	1	VHn
亮子	료코#N	1	VHn
リック	릭#N	1	VHn
アイザック	아이작#N	1	VHn
クライブ	클라이브#N	1	VHn
カズノリ	카즈노리#N	1	VHn
女神様	여신님#N	1	VHn
プライン	플라인#N	1	VHn
ロッキー	로키#N	1	VHn
ミラクル	미라클#N	1	VHn
ヴィオレッタ	비올레타#N	1	VHn
ルミナス	루미너스#N	1	VHn
チャリオット	채리엇#N	1	VHn
サタン	사탄#N	1	VHn
ミスティック	미스틱#N	1	VHn
虎子	토라코#N	1	VHn
ミルキー	밀키#N	1	VHn
カフカ	카프카#N	1	VHn
景子	케이코#N	1	VHn
栄子	에이코#N	1	VHn
叶絵	카나에#N	1	VHn
クルーチェ	크루체#N	1	VHn
ミレイナ	밀레이나#N	1	VHn
リッカ	릿카#N	1	VHn
オリビア	올리비아#N	1	VHn
カマエル	카마엘#N	1	VHn
コンドル	콘도르#N	1	VHn
フロイト	프로이트#N	1	VHn
ベルモンド	벨몬드#N	1	VHn
オスカー	오스카#N	1	VHn
湯朝	유아사#N	1	VHn
トオル	토오루#N	1	VHn
スタインベック	스타인벡#N	1	VHn
モンゴメリ	몽고메리#N	1	VHn
オルコット	올컷#N	1	VHn
ラヴクラフト	러브크래프트#N	1	VHn
ミスカトニック	미스카토닉#N	1	VHn
トルストイ	톨스토이#N	1	VHn
メルヴィル	멜빌#N	1	VHn
影光	카게미츠#N	1	VHn
神鵺	카나야#N	1	VHn
咲美	사키미#N	1	VHn
透華	토우카#N		1	VHn
ブレイザー	블레이저#N	1	VHn
凌子	료코#N	1	VHn
田所	타도코로#N	1	VHn
真衣	마이#N	1	VHn
四条	시조#N	1	VHn
黒瀬	쿠로세#N	1	VHn
栞里	시오리#N	1	VHn
亜里沙	아리사#N	1	VHn
叶絵	카나에#N	1	VHn
シルヴィ	실비#N	1	VHn
ユレーイナ	유레이나#N	1	VHn
杏樹	안쥬#N	1	VHn
杏珠	안쥬#N	1	VHn
裕輔	유우스케#N	1	VHn
神菜	칸나#N	1	VHn
亜麻音	아마네#N	1	VHn
蘢宮	미야#N	1	VHn
絵咲	에사키#N	1	VHn
真奈香	마나카#N	1	VHn
見持	켄모치#N	1	VHn
小日置	코비키#N	1	VHn
園咲	소노사키#N	1	VHn
筑後	치쿠고#N	1	VHn
辻岡	츠지오카#N	1	VHn
天王洲	텐노슈#N	1	VHn
布谷	누노타니#N	1	VHn
音琴	네고토#N	1	VHn
穂乃佳	호노카#N	1	VHn
初瀬川	하세가와#N	1	VHn
伊乃里	이노리#N	1	VHn
穂苅	호카리#N	1	VHn
卯乃香	우노카#N	1	VHn
瑠東	류토#N	1	VHn
澄花	스미카#N	1	VHn
櫓木	료기#N	1	VHn
レミリア	레밀리아#N	1	VHn
朝夏	아사카#N	1	VHn
八意	야고코로#N	1	VHn
永琳	에이린#N	1	VHn
愛菜	마나#N	1	VHn
葱野	네기노#N	1	VHn
桃塚	모모즈카#N	1	VHn
米木	코메기#N	1	VHn
山岡	아마오카#N	1	VHn
吉川	요시카와#N	1	VHn
ルシファー	루시퍼#N	1	VHn
ルシエル	루시엘#N	1	VHn
セラフィム	세라핌#N	1	VHn	//セラフィムクリーン
ルコ	루코#N	1	VHn
双樹	소쥬#N 	1	VHn
明美	아케미#N	1	VHn
ハンバード	햄버드#N	1	VHn
音々	네네#N	1	VHn
レオン	레온#N	1	VHn
レビヤタン	레비아탄#N	1	VHn
フレイヤ	프레이야#N	1	VHn
サミュエル	사무엘#N	1	VHn
アッカリ	앗카리#N	1	VHn
ルリカ	루리카#N	1	VHn
ルリ	루리#N	1	VHn
御崎	미사키#N	1	VHn
カオル	카오루#N	1	VHn
シャルル	샤를#N	1	VHn
シャーロット	샬롯#N	1	VHn
太宰	다자이#N	1	VHn
礼音	레온#N	1	VHn
アルベイン	알베인#N	1	VHn
ルーリエ	루리에#N	1	VHn
ジュリエット	줄리엣#N	1	VHn
キャピュレット	캐풀렛#N	1	VHn
ユリア	유리아#N	1	VHn
ヴォネガット	보니것#N	1	VHn
オースティン	오스틴#N	1	VHn
レムリアン	레무리안#N	1	VHn
サフラン	사프란#N	1	VHn
ムツキ	무츠키#N	1	VHn
ヒナ	히나#N	1	VHn
イオリ	이오리#N	1	VHn
チナツ	치나츠#N	1	VHn
ジュンコ	준코#N	1	VHn
アカネ	아카네#N	1	VHn
コトリ	코토리#N	1	VHn
スミレ	스미레#N	1	VHn
コハル	코하루#N	1	VHn
サヤ	사야#N	1	VHn
トモエ	토모에#N	1	VHn
シグレ	시구레#N	1	VHn
フブキ	후부키#N	1	VHn
ミク	미쿠#N	1	VHn
マコト	마코토#N	1	VHn
ゲールマン	게르만#N	1	VHn
アルフレート	알프레드#N	1	VHn
メリナ	멜리나#N	1	VHn
ベルナール	베르나르#N	1	VHn
エドガー	에드거#N	1	VHn
マグナス	매그너스#N	1	VHn
アレクトー	알렉토#N	1	VHn
アステール	아스테르#N	1	VHn
ローレッタ	로레타#N	1	VHn
アナスタシア	아나스타샤#N	1	VHn
オズワルド	오스왈드#N	1	VHn
エンジ	엔지#N	1	VHn
プリシラ	프리실라#N	1	VHn
チェスター	체스터#N	1	VHn
エルドリッチ	엘드리치#N	1	VHn
タナカ	타나카#N	1	VHn
イチロウ	이치로#N	1	VHn
ベアトリクス	베아트릭스#N	1	VHn
ペンドラゴン	팬드래건#N	1	VHn
ツヨシ	츠요시#N	1	VHn
イフリート	이프리트#N	1	VHn
メグミ	메구미#N	1	VHn
マツダ	마츠다#N	1	VHn
シュウイチ	슈이치#N	1	VHn
ムラサメ	무라사메#N	1	VHn
ツヴァイ	츠바이#N	1	VHn
ルシード	루시드#N	1	VHn
グリッチ	글리치#N	1	VHn
イェーガー	예거#N	1	VHn
シェナ	셰나#N	1	VHn
カルメン	카르멘#N	1	VHn
レヴナント	레버넌트#N	1	VHn
ゴリアテ	골리앗#N	1	VHn
レイヴン	레이븐#N	1	VHn
ナイル	나일#N	1	VHn
ホーキンス	호킨스#N	1	VHn
オーネスト	어니스트#N	1	VHn
瑠奈	루나#N	1	VHn
水守	미나모리#N	1	VHn
飛羽	히바#N	1	VHn
紫恋	시렌#N	1	VHn
凛華	린카#N	1	VHn
黒見	쿠로미#N 	1	VHn
十六夜	이자요이#N 	1	VHn
奥空	오쿠소라#N 	1	VHn
浅黄	아사기#N 	1	VHn
鬼方	오니카타#N 	1	VHn
火宮	히노미야#N 	1	VHn
黒舘	쿠로다테#N 	1	VHn
鰐渕	와니부치#N 	1	VHn
愛清	아이키요#N 	1	VHn
牛牧	우시마키#N 	1	VHn
天雨	아마우#N 	1	VHn
下倉	시모쿠라#N 	1	VHn
小鈎	오마가리#N 	1	VHn
小塗	코누리#N 	1	VHn
音瀬	오토세#N 	1	VHn
角楯	카쿠다테#N 	1	VHn
室笠	무로카사#N 	1	VHn
猫塚	네코즈카#N 	1	VHn
豊見	토요미#N 	1	VHn
乙花	오토하나#N 	1	VHn
和泉元	이즈미모토#N 	1	VHn
生塩	우시오#N 	1	VHn
明星	아케보시#N 	1	VHn
飛鳥馬	아스마#N 	1	VHn
阿慈谷	아지타니#N 	1	VHn
守月	모리즈키#N 	1	VHn
円堂	엔도우#N 	1	VHn
伊原木	이바라기#N 	1	VHn
朝顔	아사가오#N 	1	VHn
鷲見	스미#N 	1	VHn
静山	시즈야마#N 	1	VHn
白洲	시라스#N 	1	VHn
伊落	이오치#N 	1	VHn
柚鳥	유토리#N 	1	VHn
若葉	와카바#N 	1	VHn
古関	코제키#N 	1	VHn
杏山	쿄야마#N 	1	VHn
蒼森	아오모리#N 	1	VHn
歌住	우타즈미#N 	1	VHn
桐藤	키리후지#N 	1	VHn
和楽	와라쿠#N 	1	VHn
久田	쿠다#N 	1	VHn
河和	카와와#N 	1	VHn
狐坂	코사카#N 	1	VHn
薬子	야쿠시#N 	1	VHn
連河	렌카와#N 	1	VHn
佐城	사시로#N 	1	VHn
池倉	이케쿠라#N 	1	VHn
間宵	마요이#N 	1	VHn
愛梨	아이리#N 	1	VHn
宇沢	우자와#N 	1	VHn
中務	나카츠카사#N 	1	VHn
合歓垣	네무가키#N 	1	VHn
尾刃	오가타#N 	1	VHn
月雪	츠키유키#N 	1	VHn
空井	소라이#N 	1	VHn
霞沢	카스미자와#N 	1	VHn
風倉	카제쿠라#N 	1	VHn
槌永	츠지나가#N 	1	VHn
戒野	이마시노#N 	1	VHn
錠前	조마에#N 	1	VHn
天依	아마요리#N 	1	VHn
風巻	카자마키#N 	1	VHn
川流	카와루#N 	1	VHn
河駒風	코마카제#N 	1	VHn
七度	시치도#N 	1	VHn
秋泉	아키이즈미#N 	1	VHn
姫木	히메키#N 	1	VHn
安守	야스모리#N 	1	VHn
竜華	류우게#N 	1	VHn
近衛	코노에#N 	1	VHn
申谷	신타니#N 	1	VHn
朱城	아케시로#N 	1	VHn
天地	아마치#N 	1	VHn
御稜	고료#N 	1	VHn
百合園	유리조노#N 	1	VHn
羽沼	하누마#N 	1	VHn
静稀	시즈키#N 	1	VHn
優璃	유리#N 	1	VHn
汐織	시오리#N 	1	VHn
草汰	소우타#N 	1	VHn
荒槇	아라마키#N 	1	VHn
千冬	치후유#N 	1	VHn
六文銭	로쿠몬센#N 	1	VHn
ツクヨミ	츠쿠요미#N	1	VHn
海藤	카이도#N	1	VHn
リルド	리루도#N	1	VHn
ナンシー	낸시#N	1	VHn
デリカ	델리카#N	1	VHn
ミナト	미나토#N	1	VHn
イザベラ	이자벨라#N	1	VHn
アルカス	아르카스#N	1	VHn
ブラッド	블러드#N	1	VHn
スニッカーズ	스니커즈#N	1	VHn
エンチャント	인챈트#N	1	VHn
エフティン	에프틴#N	1	VHn
アンジェリア	안젤리아#N	1	VHn
ローラ	로라#N	1	VHn
フェブラリー	페브러리#N	1	VHn
唄浜	우타하마#N	1	VHn
オキナ	오키나#N	1	VHn
ゆず	유즈#N	1	VHn
ユズ	유즈#N	1	VHn
ツルギ	츠루기#N	1	VHn
カラ	카라#N	1	VHn
カラー	컬러#N	1	VHn
山吹	야마부키#N	1	VHn

博麗	하쿠레이#N	1	VHn
魂魄	콘파쿠#N	1	VHn
妖夢	요우무#N	1	VHn
東風谷	코치야#N	1	VHn
鈴仙	레이센#N	1	VHn
優曇華院	우동게인#N	1	VHn
射命丸	샤메이마루#N	1	VHn
西行寺	사이교우지#N	1	VHn
幽々子	유유코#N	1	VHn
フランドール	플랑드르#N	1	VHn
上白沢	카미시라사와#N	1	VHn
慧音	케이네#N	1	VHn
蓬莱山	호라이산#N	1	VHn
妹紅	모코우#N	1	VHn
メルラン	메를랑#N	1	VHn
プリズムリバー	프리즘리버#N	1	VHn
てゐ	테위#N	1	VHn
メランコリー	멜랑콜리#N	1	VHn
幽香	유카#N	1	VHn
四季映姫	시키에이키#N	1	VHn
穣子	미노리코#N	1	VHn
河城	카와시로#N	1	VHn
ニトリ	니토리#N	1	VHn
神奈子	카나코#N	1	VHn
洩矢	모리야#N	1	VHn
諏訪子	스와코#N	1	VHn
古明地	코메이지#N	1	VHn
パルスィ	파르시#N	1	VHn
サトリ	사토리#N	1	VHn
小傘	코가사#N	1	VHn
リグル	리글#N	1	VHn
ナイトバグ	나이트버그#N	1	VHn
比那名居	히나나위#N	1	VHn
天子	텐시#N	1	VHn
衣玖	이쿠#N	1	VHn
火焔猫	카엔뵤우#N	1	VHn
霊烏路	레이우지#N	1	VHn
封獣	호쥬#N	1	VHn
姫海棠	히메카이도#N	1	VHn
華扇	카센#N	1	VHn
ルイズ	루이즈#N	1	VHn
ノーレッジ	널릿지#N	1	VHn
白蓮	뱌쿠렌#N	1	VHn
豊聡耳	토요사토미미노#N	1	VHn
神子	미코#N	1	VHn
影狼	카게로#N	1	VHn
星熊	호시구마#N	1	VHn
勇儀	유우기#N	1	VHn
少名	스쿠나#N	1	VHn
針妙丸	신묘마루#N	1	VHn
静葉	시즈하#N	1	VHn
阿求	아큐#N	1	VHn
芳香	요시카#N	1	VHn
布都	후도#N	1	VHn
豊姫	토요히메#N	1	VHn
霖之助	린노스케#N	1	VHn

ちはや	치하야#N	1	VHn	//いちはやく	ちはや
赤薙	아카나기#N	1	VHn
ヒトミ	히토미#N	1	VHn
ジュウイチ	쥬이치#N	1	VHn
利衣子	리이코#N	1	VHn
キカイオー	키카이오#N	1	VHn
ニコラ	니콜라#N	1	VHn
モッリ	모리#N	1	VHn
ハシモト	하시모토#N	1	VHn
フトシ	후토시#N	1	VHn
隆二	류지#N	1	VHn
富次郎	토미지로#N	1	VHn
フリークス	프릭스#N	1	VHn
シノブ	시노부#N	1	VHn

ゲンツ	겐츠#N	1	VHn
ウルシ	우루시#N	1	VHn
クイナ	쿠이나#N	1	VHn
タルカス	타르카스#N	1	VHn
ホッブス	홉스#N	1	VHn
ヘリー	헬리#N	1	VHn
ヘルコフ	헬코프#N	1	VHn
イオス	이오스#N	1	VHn	//ルカイオス
サルビル	사르빌#N	1	VHn
アーシェラ	아셰라#N	1	VHn
アーシェ 아셰#N	1	VHn
ローディン	로딘#N	1	VHn
カナタ	카나타#N	1	VHn
三波	미나미#N	1	VHn
円藤	엔도#N	1	VHn
カナコ	카나코#N	1	VHn
ツチヤ	츠치야#N	1	VHn
サオトメ	사오토메#N	1	VHn
マイルズ	마일즈#N	1	VHn
ホリー	홀리#N	1	VHn
正輝	마사키#N	1	VHn
七夜	나나야#N	1	VHn
見沼	미누마#N	1	VHn
ビルカイン	빌카인#N	1	VHn
マルティ	마르티#N	1	VHn
淳平	준페이#N	1	VHn
マードック	머독#N	1	VHn
プルートー	플루토#N	1	VHn
ミツハ	미츠하#N	1	VHn
スタンリー	스탠리#N	1	VHn
ハドリー	해들리#N	1	VHn
アルダーソン	앨더슨#N	1	VHn
タナー	터너#N	1	VHn
ダニエラ	다니엘라#N	1	VHn
ストーニー	스토니#N	1	VHn
ベッドフォード	베드포드#N	1	VHn
ハツユキ	하츠유키#N	1	VHn
カリス	카리스#N	1	VHn
アンダーセン	앤더슨#N	1	VHn
イソカゼ	이소카제#N	1	VHn
磯風	이소카제#N	1	VHn
浜風	하마카제#N	1	VHn
ウラカゼ	우라카제#N	1	VHn
浦風	우라카제#N	1	VHn
クリフォード	클리퍼드#N	1	VHn
ブラッドリー	브래들리#N	1	VHn
ハガード	해거드#N	1	VHn
ラングフォード	랭퍼드#N	1	VHn
デムーロ	데무로#N	1	VHn
アメリー	아멜리#N	1	VHn
ロランド	롤랜도#N	1	VHn
フランセット	프랑세트#N	1	VHn
バルモア	발모어#N	1	VHn
ファルセット	파르세트#N	1	VHn
ヴェルニー	베르니#N	1	VHn
三森	미모리#N	1	VHn
アマーリア	아말리아#N	1	VHn
久橋	히사하시#N	1	VHn
十河	소고#N	1	VHn
小山田	오야마다#N	1	VHn
翔吾	쇼고#N	1	VHn
ツバサ	츠바사#N	1	VHn
バクオス	바쿠오스#N	1	VHn
キリハラ	키리하라#N	1	VHn
二瓶	니헤이#N	1	VHn
萌絵	모에#N	1	VHn
一登	카즈토#N	1	VHn
銀子	긴코#N	1	VHn
アルバン	아르반#N	1	VHn
ベルント	베른트#N	1	VHn
ブルノ	브루노#N	1	VHn
アビー	아비#N	1	VHn
佐渡島	사도시마#N	1	VHn
秋ノ瀬	아키노세#N	1	VHn
雪咲	유키사키#N	1	VHn
悠都	유우토#N	1	VHn
紗和乃	사와노#N	1	VHn
洋平	요헤이#N	1	VHn
サーフィス	서피스#N	1	VHn
おじい姿	할아버님#N	1	VHn
エルダー	엘더#N	1	VHn
ボリバル	볼리바르#N	1	VHn
ニコラス	니콜라스#N	1	VHn
合歓	네무#N	1	VHn
ブルーノ	브루노#N	1	VHn
マシュー	매튜#N	1	VHn
ハリー	해리#N	1	VHn
柿谷	카키타니#N	1	VHn
ジョンソン	존슨#N	1	VHn

//
ゴポリゴポリ	뚝뚝∥d
ボンッと	퐁 하고	0
ぴゃぴゃ	휙휙∥d
ポカッ	딱∥d		//ポカッと
ホッと	후하고∥d		//ホッと
ドカッ	쾅하고∥d		//ドカッと
ぺっこり	꾸벅∥d	//呑気にぺっこりと頭を下げた
やれやれと	이런이런하고	0	//やれやれとアームズ
ぱっくり	빠끔히∥d	0	//ぱっくりと未だに
ぞくぞく	오슬오슬∥t	1
うまうま	냠냠∥t	0	//「ありがとう。うまうま」
とぼとぼ	터벅터벅	0	//壁際をとぼとぼと歩いて行く。
にやっと	히죽∥d	0	//いま口元がにやっと笑った！」
さわさわ	스윽스윽∥t	0
たぷん	출렁∥t	0	//腹の中からたぷんと液体の揺れる音がした
ぐぷっぐぷっ	구풋구풋	0





//일반적으로 안쓰는 거
選擇	선택#M	0	//選択 
社會	사회#M	0	//司会 
變更	변경#M	0	//変更, 変改 
身體	신체#M	0	//身体
惡化	악화#M	0	//悪化
最惡	최악#M	0	//最悪
經驗	경험#M	0	//経験
戦鬪	전투#M	0	//戦闘
